,lot_area,overall_qual,total_bsmt_sf,heating_qc,electrical,gr_liv_area,full_bath,kitchen_qual,functional,fireplaces,fireplace_qu,garage_area,saleprice,house_age,lot_is_reg_inside,land_is_gtl_lvl,location_is_normal,neighborhood_zone_blmngtn_rm,neighborhood_zone_blueste_rm,neighborhood_zone_brdale_rm,neighborhood_zone_brkside_rl,neighborhood_zone_brkside_rm,neighborhood_zone_clearcr_rl,neighborhood_zone_collgcr_rl,neighborhood_zone_collgcr_rm,neighborhood_zone_crawfor_rl,neighborhood_zone_crawfor_rm,neighborhood_zone_edwards_rl,neighborhood_zone_edwards_rm,neighborhood_zone_gilbert_rl,neighborhood_zone_greens_rl,neighborhood_zone_grnhill_rm,neighborhood_zone_idotrr_rm,neighborhood_zone_meadowv_rm,neighborhood_zone_mitchel_rl,neighborhood_zone_mitchel_rm,neighborhood_zone_names_rl,neighborhood_zone_npkvill_rl,neighborhood_zone_nwames_rl,neighborhood_zone_noridge_rl,neighborhood_zone_nridght_rl,neighborhood_zone_nridght_rm,neighborhood_zone_oldtown_rl,neighborhood_zone_oldtown_rm,neighborhood_zone_swisu_rl,neighborhood_zone_sawyerw_rl,neighborhood_zone_sawyer_rl,neighborhood_zone_sawyer_rm,neighborhood_zone_somerst_rl,neighborhood_zone_stonebr_rl,neighborhood_zone_timber_rl,neighborhood_zone_veenker_rl,hse_style_type_1.5fin_sing_fam,hse_style_type_1.5fin_twnhse,hse_style_type_1.5unf_sing_fam,hse_style_type_1story_duplex,hse_style_type_1story_sing_fam,hse_style_type_1story_twnhse,hse_style_type_2.5fin_sing_fam,hse_style_type_2.5unf_duplex,hse_style_type_2.5unf_sing_fam,hse_style_type_2story_duplex,hse_style_type_2story_sing_fam,hse_style_type_2story_twnhse,hse_style_type_sfoyer_duplex,hse_style_type_sfoyer_sing_fam,hse_style_type_sfoyer_twnhse,hse_style_type_slvl_duplex,hse_style_type_slvl_sing_fam,hse_style_type_slvl_twnhse,roof_is_compshg_gable,exter_qual_cond,bsmt_qual_cond,garage_qual_cond,is_paved,has_ctrl_aircon,has_paved_drive,has_fence,has_wood_deck,has_open_porch
472,6488,5,799.0,5,4,1150,1,3,5,2,3,215.0,128000,79,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.0,3.0,1,0,1,0,0,1
473,14230,8,1566.0,5,5,1600,2,4,8,1,4,890.0,256300,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,3.5,3.0,1,1,1,0,1,0
474,7810,4,930.0,5,5,1755,2,4,8,1,3,231.0,188000,91,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,3.5,2.5,1,1,1,0,1,0
475,14331,8,1800.0,5,5,1800,2,4,8,1,4,765.0,312500,19,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,4.0,3.0,1,1,1,0,0,0
477,1920,5,765.0,5,5,1365,1,3,7,0,0,440.0,122500,50,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.0,3.0,3.0,1,1,1,0,0,0
478,10110,6,835.0,5,5,1696,2,4,8,0,0,542.0,188000,18,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.5,3.5,3.0,1,1,1,0,0,0
479,10984,7,945.0,5,5,1809,2,4,8,0,0,638.0,209700,16,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.5,3.5,3.0,1,1,1,0,0,0
481,8480,6,886.0,5,5,1680,2,4,8,0,0,474.0,163000,28,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.5,3.5,3.0,1,1,1,0,0,0
482,12205,6,832.0,4,5,2087,2,4,8,0,0,444.0,187500,55,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.0,2.5,3.0,1,1,1,0,0,0
483,15750,8,1462.0,5,5,1513,2,4,8,1,3,521.0,220000,22,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,3.5,3.0,1,1,1,0,0,0
484,8050,5,949.0,3,5,1107,1,4,8,0,0,308.0,127000,54,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.0,3.0,1,1,1,0,0,0
485,7200,5,0.0,5,5,827,1,3,5,1,1,392.0,107500,66,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,3.0,1,1,1,0,1,1
488,11846,9,1792.0,5,5,1792,2,5,8,1,4,874.0,374000,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,4.0,3.0,1,1,1,0,0,0
490,9636,6,808.0,4,5,1593,2,3,8,1,3,389.0,178000,29,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.0,3.5,3.0,1,1,1,1,0,0
491,10012,4,1138.0,3,5,1181,2,3,8,0,0,588.0,137500,49,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.0,3.5,3.0,1,1,1,1,1,1
492,14303,8,1986.0,5,5,1987,2,4,8,1,3,691.0,301500,27,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3.5,3.0,1,1,1,0,0,0
493,5707,6,583.0,4,3,1242,1,3,8,1,4,180.0,105000,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.0,3.0,2.5,1,1,1,0,0,0
494,9360,6,976.0,3,5,976,1,4,8,1,2,504.0,157500,53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,1,1,1,0,0,1
496,7000,5,864.0,4,5,864,1,3,8,0,0,336.0,105000,59,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.0,3.0,1,1,1,1,1,1
497,10480,6,1064.0,5,4,1639,1,3,3,0,0,240.0,115000,85,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.0,3.0,1,1,1,0,1,1
498,11578,9,1736.0,5,5,1736,2,5,8,1,4,834.0,360000,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,4.0,3.0,1,1,1,0,0,0
499,7018,5,0.0,3,5,1535,2,3,8,0,0,400.0,118858,42,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,3.0,1,1,1,0,1,1
500,9130,6,800.0,4,5,1632,1,4,8,0,0,484.0,173000,55,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,3.0,3.0,1,1,1,0,1,0
502,8244,7,840.0,5,5,1720,2,4,8,1,4,440.0,183500,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.5,3.5,3.0,1,1,1,0,0,0
504,3621,8,1406.0,5,5,1589,2,4,8,1,3,630.0,226500,18,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3.5,3.0,1,1,1,0,0,0
505,7837,6,799.0,4,5,1571,2,3,8,1,3,380.0,178000,28,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.5,3.5,3.0,1,1,1,0,1,0
506,10665,7,1453.0,5,5,1479,2,4,8,0,0,558.0,226000,18,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,3.5,3.0,1,1,1,0,0,0
507,10457,5,784.0,5,5,1632,1,3,8,1,3,898.0,173000,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4.5,3.0,3.0,1,1,1,1,1,0
508,8281,5,864.0,4,5,864,1,3,8,1,1,360.0,62383,56,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.0,3.0,1,1,1,1,1,1
510,7000,7,624.0,5,5,1479,1,4,8,2,4,312.0,160000,95,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.0,3.0,3.0,1,1,1,1,0,1
511,3940,7,1393.0,5,5,1576,2,4,8,1,3,668.0,219990,17,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3.5,3.0,1,1,1,0,0,0
512,9382,7,1468.0,5,5,1479,2,4,8,0,0,577.0,191000,22,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,3.5,3.0,1,1,1,0,0,0
513,6854,5,756.0,3,4,1060,1,3,5,1,4,308.0,136500,96,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,3.0,2.5,1,0,1,0,1,0
514,11515,4,0.0,3,5,943,1,4,6,0,0,308.0,80000,63,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,3.0,1,0,0,0,1,1
515,13837,7,1204.0,4,5,2183,2,4,8,0,0,786.0,229000,33,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,4.0,3.0,1,1,1,0,1,1
516,9938,7,1050.0,5,5,1949,2,4,8,1,3,574.0,236000,28,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.5,3.5,3.0,1,1,1,1,0,0
517,12633,10,1824.0,5,5,1824,2,5,8,1,4,932.0,392000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,3.0,1,1,1,0,0,0
518,6876,6,720.0,2,5,1930,2,3,8,0,0,316.0,149000,94,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.0,2.5,3.0,1,1,1,1,1,1
521,17808,4,484.0,3,5,1242,1,3,5,0,0,336.0,109900,75,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.0,3.0,1,0,0,0,1,1
522,9627,7,996.0,5,5,2000,2,3,8,1,3,650.0,188000,28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.0,3.5,3.0,1,1,1,0,0,0
523,6000,6,780.0,5,3,1412,1,3,8,1,4,280.0,132500,82,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.5,3.0,3.0,1,1,1,0,0,1
524,9757,5,990.0,5,5,990,1,3,8,0,0,440.0,143000,27,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,3.0,3.0,1,1,1,0,0,1
525,9280,5,1342.0,5,5,1342,1,3,8,0,0,256.0,125000,70,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,2.5,3.0,1,1,1,0,1,1
527,7740,4,622.0,4,5,1363,1,3,8,0,0,528.0,125500,111,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.0,2.5,3.0,1,1,1,0,1,1
528,9600,6,1240.0,4,5,1632,2,3,7,1,4,338.0,139000,63,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,1,1,1,1,0,1
530,10926,5,1678.0,3,5,1678,2,3,8,0,0,0.0,119900,62,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,0.0,1,1,1,0,1,1
531,6853,8,1267.0,5,5,1296,2,4,8,0,0,471.0,220000,20,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,4.0,3.0,1,1,1,0,0,0
532,10667,6,1587.0,3,5,1587,2,3,8,1,4,525.0,167300,50,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.0,3.0,1,1,1,0,1,0
534,9100,5,1728.0,3,5,1728,2,3,8,0,0,504.0,125000,58,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.0,3.0,1,1,1,0,1,1
535,6000,5,928.0,4,4,928,1,3,8,0,0,288.0,112500,64,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,1,1,1,0,1,1
536,9316,7,879.0,5,5,1795,2,4,8,0,0,578.0,191000,16,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.5,3.5,3.0,1,1,1,0,0,0
537,9464,6,1080.0,4,5,1080,1,3,8,0,0,288.0,136000,63,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3.0,3.0,1,1,1,0,1,1
538,10400,7,866.0,5,5,1779,2,4,8,0,0,546.0,197900,23,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.0,3.5,3.0,1,1,1,0,0,0
539,5310,6,485.0,4,5,1635,1,4,8,0,0,255.0,117000,111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,2.5,2.5,1,1,1,0,0,1
540,7406,7,1199.0,5,5,1220,2,4,8,0,0,632.0,194000,15,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,3.5,3.0,1,1,1,0,0,0
542,10106,5,644.0,4,5,1355,2,3,8,0,0,0.0,127500,81,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,3.0,0.0,1,1,1,0,0,1
543,13346,7,1095.0,5,5,2295,2,4,8,1,3,590.0,268000,29,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.5,3.5,3.0,1,1,1,0,1,0
544,9639,4,1075.0,5,5,1798,2,3,8,0,0,342.0,137000,121,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.0,3.0,3.0,1,1,0,1,1,1
546,10050,5,1216.0,3,5,1216,1,3,8,0,0,336.0,129500,66,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,1,1,1,0,1,1
547,6240,5,896.0,4,4,1344,1,3,8,0,0,240.0,115000,85,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.5,2.5,1,1,1,0,0,0
548,7506,5,747.0,3,5,1159,1,3,8,0,0,288.0,114000,96,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,3.0,2.5,1,1,0,0,0,1
550,8480,5,832.0,3,5,1216,1,3,8,0,0,336.0,118500,74,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.0,3.0,1,1,1,0,0,1
551,6000,6,862.0,3,5,1158,1,3,8,1,4,208.0,120000,92,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.0,3.0,1,1,1,0,1,1
552,8847,8,1538.0,5,5,1538,2,4,8,0,0,484.0,260000,16,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,3.5,3.0,1,1,1,0,0,0
553,8050,5,1143.0,3,5,1143,1,3,8,0,0,308.0,136000,62,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,1,1,1,1,1,1
554,8294,4,858.0,3,5,872,1,3,8,0,0,480.0,123000,50,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.0,3.0,1,1,1,1,1,1
556,18494,6,1324.0,5,5,1324,2,4,8,0,0,430.0,199500,16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,3.5,3.0,1,1,1,0,0,0
557,7162,5,876.0,3,5,904,1,3,8,0,0,408.0,109900,55,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.0,3.0,1,1,1,1,1,1
558,10918,7,1276.0,5,5,2080,1,4,8,2,4,282.0,234000,95,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.5,3.5,3.0,1,1,1,1,1,1
559,4435,6,848.0,5,5,848,1,4,8,1,4,420.0,155900,17,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,3.5,3.0,1,1,1,0,0,1
560,11250,4,1104.0,5,4,1788,1,3,6,2,3,304.0,161500,64,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.0,3.0,1,1,1,0,0,1
561,14375,6,819.0,4,4,1344,1,4,8,1,4,525.0,137500,63,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3.0,3.0,3.0,1,1,1,0,1,0
563,10029,6,1151.0,3,5,2060,2,3,8,1,3,521.0,211000,33,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.5,3.5,3.0,1,1,1,0,1,0
